month,start_day,end_day,"תמר ערבה 10x10","תמר ערבה 9x9","תמר ערבה 8x9"
1,1,10,0.5259756097561,0.64695,0.7305216802168
1,11,20,0.5259756097561,0.64695,0.7305216802168
1,21,31,0.5259756097561,0.64695,0.7305216802168
2,1,10,0.5259756097561,0.64695,0.7305216802168
2,11,20,0.5259756097561,0.64695,0.7305216802168
2,21,31,0.5259756097561,0.64695,0.7305216802168
3,1,10,0.5259756097561,0.64695,0.7305216802168
3,11,20,0.5259756097561,0.64695,0.7305216802168
3,21,31,0.5259756097561,0.64695,0.7305216802168
4,1,10,0.53520325203252,0.6583,0.74333785004517
4,11,20,0.53520325203252,0.6583,0.74333785004517
4,21,31,0.53520325203252,0.6583,0.74333785004517
5,1,10,0.53520325203252,0.6583,0.74333785004517
5,11,20,0.53520325203252,0.6583,0.74333785004517
5,21,31,0.53520325203252,0.6583,0.74333785004517
6,1,10,0.55365853658537,0.681,0.7689701897019
6,11,20,0.55365853658537,0.681,0.7689701897019
6,21,31,0.55365853658537,0.681,0.7689701897019
7,1,10,0.71052845528455,0.87395,0.9868450767841
7,11,20,0.71052845528455,0.87395,0.9868450767841
7,21,31,0.71052845528455,0.87395,0.9868450767841
8,1,10,0.71052845528455,0.87395,0.9868450767841
8,11,20,0.71052845528455,0.87395,0.9868450767841
8,21,31,0.71052845528455,0.87395,0.9868450767841
9,1,10,0.62747967479675,0.7718,0.87149954832882
9,11,20,0.62747967479675,0.7718,0.87149954832882
9,21,31,0.62747967479675,0.7718,0.87149954832882
10,1,10,0.50752032520325,0.62425,0.70488934056007
10,11,20,0.50752032520325,0.62425,0.70488934056007
10,21,31,0.50752032520325,0.62425,0.70488934056007
11,1,10,0.49829268292683,0.6129,0.69207317073171
11,11,20,0.49829268292683,0.6129,0.69207317073171
11,21,31,0.49829268292683,0.6129,0.69207317073171
12,1,10,0.48906504065041,0.60155,0.67925700090334
12,11,20,0.48906504065041,0.60155,0.67925700090334
12,21,31,0.48906504065041,0.60155,0.67925700090334
